Id,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
6261,80,21.1,10.5,4.5,7.4,63.6,-0.2,-0.4,29.5,1.6,2.3,75.7,2.9,3.6,6.6,0.1,1.2,0.6,0.7,1
6262,44,14.5,4.3,1.7,4.3,38.7,0.5,1.4,32,0.8,1.1,61.5,1.5,2.8,4.2,0.5,0.5,0.2,0.9,1
6263,58,19.6,4.1,1.5,3.3,48.2,0.7,2,12.8,0.4,0.5,71.1,0.5,2.9,3.2,1.1,0.6,0.2,0.6,1
6264,73,42.8,18.2,7.1,15.4,44.9,0.7,1.8,33.4,3.3,3.6,91.7,1.6,3.7,5.5,2.3,0.8,0.3,1.8,1
6265,60,24.1,11.2,4.5,9.2,48.7,0.1,0.1,20.2,2.1,3,72.8,1.6,3.3,4.9,2,0.6,0.3,1.9,1
6266,61,10.5,3.9,1.4,3.3,42.1,0.1,0.2,0.5,0.9,1.1,75.2,0.8,1.7,2.4,0.3,0.3,0.4,0.8,1
6267,47,8.6,2.3,0.9,1.9,48.2,0.1,0.4,-15.1,0.5,0.8,57.9,0.4,0.7,1.2,0.8,0.5,0.1,0.7,1
6268,55,16.1,7.5,3.5,6.5,53.3,-0.8,-1.7,-12.9,1.2,1.8,67.4,1.9,2.8,5,1.5,0.9,0.4,1.6,1
6269,33,21,7.9,3.1,7.1,45.3,0.5,1.6,18.2,1.6,2.3,71.7,2.4,5.7,8.5,0.5,0.4,0.5,0.9,1
6270,69,21.7,8.7,3.9,8.8,44.7,0.1,0.4,15.7,1.2,1.4,76.8,1.1,1.4,2.4,4.3,0.9,0.3,2,1
6271,56,25.7,12.4,5.2,9.8,54.7,0.7,1.9,17.6,1.6,2.4,62.1,3.9,10,13.9,0.3,0.4,1,1.4,1
6272,73,14.7,3.6,1.4,3,46.7,0,-0.1,19.3,0.7,1.1,57.6,0.7,2.3,3.2,0.8,0.5,0.3,0.6,1
6273,54,15.4,5.3,1.8,4.7,41.4,0.6,1.8,38,0.8,0.9,76.8,0.7,2.1,2.9,0.6,0.3,0.2,0.5,1
6274,71,26,10.6,4.4,11.1,37.7,0.7,2.4,34.1,1.2,1.5,91.8,0.7,2.7,3.5,3.5,0.7,0.2,1.4,1
6275,85,12.9,3.5,1.4,3.7,36.9,0,0.2,19.9,0.6,0.9,69.9,0.4,0.9,1.4,1.1,0.5,-0.2,1.1,1
6276,62,28.2,9.5,3.8,8.2,49,0.3,0.8,21,1.6,2.2,77.2,1.1,2.9,4.2,2.4,1,0.3,1.2,1
6277,71,31.3,9,3.7,9.7,38.9,0.3,1.2,12.3,1.4,1.8,71.8,0.6,3.2,3.7,4.4,1.6,0.5,2.1,0
6278,68,24.1,7.7,2.9,6.1,49.2,-0.1,0.1,-0.3,2.1,2.7,79.4,1.3,4,5.3,1.9,0.6,0.8,2.4,0
6279,57,18.1,8.4,3.1,7.4,40.9,0.7,1.9,34.7,1.2,1.5,84.7,0.1,1.2,1.3,3.3,1,0.1,1.8,1
6280,98,25.1,12.4,4.3,11.4,37.7,0.5,2,2.8,4,5.4,75.5,0.8,1.7,2.5,4.2,1,0.1,4,1
6281,69,35.9,20.7,8,16.9,51.3,0.4,1.4,21.6,4.3,6,68.1,1.9,3.3,5.4,4.8,1.1,0.4,2.9,1
6282,31,19,5.1,2,5.1,37.6,0.9,2.5,39.2,0.7,0.8,81.5,0.1,0.7,0.8,2.9,0.6,-0.1,0.8,0
6283,62,16.5,8.5,3.3,7.7,42,0.2,0.7,41.2,1.4,2.1,70.8,1.4,1.5,2.7,1.7,0.8,0.2,0.7,1
6284,56,15.8,5.4,1.9,4.4,42.7,0.8,2.2,9.1,0.9,1.4,70.7,0.4,1.5,1.9,0.3,0.2,0.1,0.5,0
6285,76,9.2,5.5,2,3.9,49.6,0.1,0.3,23.3,1.8,2.6,66.8,0.9,0.6,1.4,0.5,0.2,-0.5,0.7,1
6286,51,10.6,2.6,1,2.7,36.8,0.3,1.1,23.9,0.4,0.6,70.1,0.4,1.1,1.6,0.8,0.3,0.1,0.7,1
6287,58,10.2,3.5,1.4,3.1,45,0.1,0.1,33.8,0.6,1.1,59.8,1.5,1.9,3.4,0.3,0.4,0.4,0.6,1
6288,42,20.5,9.6,3.4,8,42.9,0.3,1.1,30.2,2.5,3.4,77.1,1.3,1.6,2.9,3.2,1.1,0.1,1.3,1
6289,85,29,13.2,4.6,10.4,44.5,1,3.1,49.7,3,4.2,76.1,0.7,2.4,3.3,3.1,0.8,0.3,2.2,1
6290,62,17.6,5,1.6,4.1,40.8,0.1,0.4,18.2,1.7,2.1,79.6,0.6,2,2.5,0.6,0.5,0.1,1,1
6291,92,34.5,14.3,5.7,11.2,54.8,0.1,0.4,20.3,2.4,3.3,71.5,1.9,3.2,5,5.3,1.3,0.3,4.1,1
6292,65,33.8,16.7,6,14.6,40.4,0.7,2.3,28.9,4.3,5.2,90.8,0.6,2.4,3,5.4,1.1,0.1,2.8,1
6293,76,34.5,10,4.2,9.2,45.5,0.3,0.9,33.2,1.5,1.8,79.9,0.9,3.1,4.1,3.7,1.3,0.2,2.2,1
6294,78,19.5,6.9,2.4,5.2,46.8,0.3,0.7,22.2,2,2.1,95.1,0.9,2.2,3,1.3,0.5,0.3,1,1
6295,48,21.1,11.8,4.1,9,44,0.2,0.9,20.7,4,5.5,71.5,1.6,3,5.2,1.4,0.7,0.5,2,1
6296,57,12.5,3.4,1.4,3.7,37.4,0,0.4,4.9,0.4,0.6,79.5,0.8,1.9,2.8,0.4,0.3,0.3,0.7,1
6297,76,31,14.2,5.4,10,57,0.2,0.8,22.5,3.2,3.8,94.2,3.2,4.2,7.6,1.7,0.7,1,1.5,1
6298,17,6.3,1.9,0.7,2.2,32.9,0.4,1.8,3.1,0.3,0.3,74.2,0,0.6,0.7,1.1,0.2,-0.1,0.4,1
6299,47,6.3,2,0.8,2.3,34.9,0.3,1.1,19.2,0.3,0.4,66.6,0.2,0.4,0.6,0.2,0.1,0,0.2,1
6300,52,11.7,2.9,1.1,3,38.8,-0.3,-0.7,16.6,0.6,1,64.8,1.1,1.1,2,1.6,0.4,0,1.2,1
6301,43,17.7,4,1.4,3.1,47.2,0.3,0.8,-2.4,1,1.6,61.6,1.1,2.9,4.2,0.4,0.6,0.6,0.5,1
6302,71,11.3,6.7,2.6,5.5,43,-0.1,0,16.4,1.8,2.7,69.4,1.6,1.7,3,0.3,0.3,0,1.1,1
6303,42,16.2,3.1,1.2,3.2,35.9,0.2,1.1,2.4,0.6,0.9,59.7,0.5,1.9,2.3,2.3,0.6,0.3,1,1
6304,46,12.9,6.7,2.5,5.7,41.4,0.1,0.4,16.8,1.7,2.7,64,1.6,1.9,3.3,0.9,0.4,0.3,1,1
6305,33,12.8,4,1.4,3,48.5,0.5,1.2,28.6,0.7,0.9,76.3,0.9,1.6,2.6,0.3,0.5,0.6,0.4,1
6306,39,10.5,3.8,1.5,3.7,42.3,0,0.1,24.7,0.7,0.8,75,1.8,1.5,2.9,0.3,0.2,0.3,0.5,1
6307,54,16.9,6.3,2.2,4.9,43.9,0.4,1,12.8,1.5,1.8,82.3,0.9,1.6,2.7,3.8,0.5,0.3,1.4,1
6308,78,15.4,4.6,1.9,5.6,34.5,0.4,1.2,24.8,0.5,0.5,85.6,0.5,1.4,1.9,1.3,0.7,-0.6,0.5,1
6309,50,7.6,1.7,0.7,1.8,40.3,0.3,1.1,6.7,0.2,0.2,74.7,0.3,0.8,1,0.5,0.1,0.1,0.5,1
6310,49,21.6,7,3,6.5,44.7,0,-0.1,18.8,1.1,2,54.3,1.9,2.5,4.4,1.3,0.8,0.5,1.1,1
6311,67,12.1,4.2,1.6,3.5,44.6,0.5,1.3,33,0.6,0.8,65.8,1.3,1.4,2.7,0.3,0.4,0.2,0.9,1
6312,64,14,5.1,2,4.1,46.3,0.2,0.5,24.6,0.8,1.2,71.4,0.9,1.4,2.5,0.6,0.4,0.1,0.9,1
6313,53,12.3,3.4,1.3,3.5,38.9,0.4,1.3,13.2,0.3,0.6,61.8,0.7,0.9,1.6,1,0.7,0.1,0.9,1
6314,67,9.3,2.7,1,2.6,38.7,-0.1,-0.5,21.8,0.7,0.7,86.6,0.2,0.9,1.2,0.6,0.2,0.4,0.5,0
6315,102,41.6,19.4,7.9,13.6,60.9,0.8,2,35.8,3.8,5.2,74.2,2.2,5.3,7.4,3,1.4,1.2,2.5,1
6316,84,30.5,17.4,6.1,13.5,45.5,0.7,1.9,43.9,3.7,4.9,82.5,1.6,3.2,4.7,2.5,1,0.1,2.8,1
6317,54,23.3,7.5,2.5,5.4,46,0.5,1.4,23.2,2.1,2.5,77,1,3.6,4.3,1.3,0.6,0.3,0.8,1
6318,71,23.4,9.9,4.1,8.1,51.6,0.6,1.5,21.2,1.2,1.5,82.8,1.6,3.9,4.9,1,0.5,0.8,1.8,1
6319,45,5,1.7,0.7,1.5,45.3,0.1,0.1,-5.3,0.3,0.5,66.1,0.4,0.4,0.8,0.5,0.1,-0.3,0.3,1
6320,42,5.8,2.7,1,2.5,39.9,0.3,0.9,28.5,0.7,0.7,93.8,0.3,0.4,0.7,0.2,0.3,0.1,0.2,1
6321,72,15.3,5.6,2.1,4.5,47.6,-0.7,-1.8,4.5,1.8,2.9,65.1,2,1.8,3.3,0.5,0.3,0.5,0.6,1
6322,46,8.5,3.2,1.2,3.2,38.6,0.3,0.8,12.5,0.5,0.8,65.8,0.2,0.5,0.7,0.4,0.2,0,0.5,1
6323,65,11.7,5,1.8,3.1,55.6,0.3,0.6,-0.4,1.3,1.9,65.7,1.9,3,4.7,0.4,0.5,2.6,0.7,1
6324,77,20.7,8.5,3.2,7.2,43.7,0.4,1.3,41.5,1.5,2.3,67,2.3,2.6,4.9,0.8,0.7,0.5,1.1,1
6325,60,12.6,3.3,1.4,2.5,55.6,0,-0.2,2.5,0.5,1,51.5,2,4.1,5.9,0.2,0.3,0.4,0.7,1
6326,59,13.5,4.5,1.8,4.3,41.5,-0.1,-0.3,7.3,0.4,0.6,74.9,1,2.4,3.3,0.3,0.3,0.4,0.8,1
6327,58,15.4,6.2,2.4,4.6,53.1,0.6,1.7,13.9,0.8,0.9,80.4,0.4,0.6,1.1,3,0.7,0,1.2,1
6328,35,9.7,2.9,1.1,2.6,41.4,0.1,0.2,10.9,0.6,0.9,69.4,0.5,1.1,1.8,0.7,0.1,-1.1,0.4,1
6329,101,25.8,12.3,4.2,10.4,39.6,0.5,1.8,20.4,3.6,4.6,75,0.7,2.1,2.8,3.5,1.1,0.4,1.8,1
6330,54,13.1,5.8,2.3,5.1,45.3,0.3,1,7.6,0.9,1.1,73.2,0.8,1.2,1.9,0.9,0.5,0.6,0.7,1
6331,83,26.8,11.5,4.3,10.7,40,0.9,2.7,33.7,1.9,2.5,74,1.6,3.2,4.9,2.5,1.2,0.3,1.9,1
6332,46,22.3,10.4,3.7,8.4,45,0.8,2.4,21,1.6,2.1,80.4,0.9,3.7,4.6,0.9,0.4,0.2,1,0
6333,87,28.8,14.6,5.3,13,39.6,1.4,3.6,53.2,2.6,3.1,85,0.6,2.8,3.1,6.7,1.8,0,2.9,1
6334,63,22.6,14.3,5,10.2,47.4,1.2,3.2,33.5,3.1,3.9,85.1,1.2,1.7,2.9,2.9,1.2,0.1,1.9,1
6335,45,10.3,5.6,2.3,5.3,41.5,-0.4,-1,9.3,1.3,1.5,97.5,0.7,1.3,2.2,0.3,0.4,0.2,0.6,1
6336,49,19.9,10.1,4,7.8,51.8,0.4,1.3,28.8,1.7,2.8,63.7,2.4,2.8,4.8,1.3,0.6,0.1,1.3,1
6337,86,17.8,8.1,3.3,6.1,52.4,-0.2,-0.6,22.3,1.6,2.6,67.1,1.7,2.8,4.3,0.6,0.6,0.3,1.4,1
6338,38,12,4.2,1.2,2.7,44.5,1,2.6,28.3,1.6,1.9,82,0.2,1.6,1.8,2.1,0.3,-1.6,0.7,0
6339,59,20.5,6.6,2.5,6.6,38.2,0.5,1.6,-8.3,1.4,2.1,67,1.8,2.8,4.6,0.7,0.3,0.6,1.4,1
6340,11,6.3,1.4,0.6,1.6,37.4,-0.1,-0.1,1.5,0.2,0.3,58.8,0.5,0.9,1.4,0.2,0.1,0.1,0.3,1
6341,53,8.8,2.4,0.8,2.5,33.9,0.3,0.9,11.3,0.5,0.8,69.6,0.3,0.7,1,0.8,0.3,0,0.9,1
6342,62,14.4,4.2,1.4,4,34.4,0.6,1.9,22.7,1.1,1.5,74,1.2,1.9,3.2,0.6,0.5,0.2,0.7,1
6343,66,13.7,6.2,2.3,4.3,51,0.5,1.4,29.8,0.9,1,81.6,0.2,1,1.2,1.6,0.6,0,1.1,1
6344,56,8.7,2.2,0.8,1.8,40.9,-0.2,-0.4,19,0.8,0.8,94.6,0.2,0.4,0.6,0.5,0.4,-0.2,0.4,0
6345,69,13.8,3.6,1.2,2.7,45.1,-0.2,-0.4,11.1,0.9,1.3,72.9,0.8,1.6,2.6,0.8,0.4,0.2,0.5,1
6346,40,8.9,2,0.8,2.1,39.3,-0.1,0,18.8,0.4,0.6,72.3,0.2,0.5,0.7,1.1,0.6,0.2,0.5,0
6347,98,20.7,7,2.7,7,37.7,-0.4,-0.5,18.3,2.2,2.7,81.1,0.9,2,2.6,1.8,0.7,0.4,1.8,1
6348,77,12,3.7,1.4,3.7,39.8,0.7,2,11.6,0.5,0.6,71.6,0.9,1.3,2,1,0.6,0.5,0.6,1
6349,53,11.6,5.4,1.8,4.4,40.3,0.4,0.7,34.1,1.4,1.6,89.6,0.5,1.1,1.7,0.8,0.7,0.1,0.8,1
6350,55,20.8,9.7,4.1,8.7,45.9,-0.2,-0.4,-3.9,2.3,3.7,66.7,2.6,2.8,5,0.5,0.6,2.9,1.9,1
6351,70,13.4,3.7,1.7,4,46.8,-0.2,-0.3,9.7,0.5,0.7,69.4,0.8,1.4,2.3,1.2,0.8,0.4,0.6,1
6352,73,19.2,9.2,3.3,6.5,49.8,0.1,0.5,-6.2,2.3,2.7,87.9,2.3,3.2,5.3,0.5,0.3,0.5,0.9,1
6353,73,14.4,4,1.8,4.3,43.9,0,0.2,28.2,0.3,0.5,63.7,0.7,1.9,2.7,1.7,0.6,0.1,1.4,1
6354,46,7.8,2.3,0.7,1.9,38.8,0.4,1.4,14.4,0.7,1.1,71,0.2,1,1.1,0.1,0,0.2,0.3,1
6355,62,13.3,4.7,1.4,3.6,39.2,0.4,1.2,29.7,1.8,2.6,74.6,1.2,1.9,3,1.1,0.5,-0.2,0.5,1
6356,47,15.1,4.9,1.8,3.6,48,0.3,0.8,17.2,1.3,1.8,72.9,1.4,2.5,3.9,0.7,0.9,0.4,1.1,1
6357,67,10.7,4.3,1.7,3.9,46.4,0.6,1.6,30.3,0.4,0.5,87.2,0.4,0.5,1,0.7,0.7,0,0.4,0
6358,45,5.9,1.4,0.6,1.6,38.7,-0.1,-0.4,23.9,0.1,0.1,76.2,0.2,0.3,0.5,0.9,0.2,-0.1,0.3,1
6359,98,43.1,18,7.1,15.3,47,0.7,2.1,35.2,3,3.7,88.8,1.5,3.4,4.8,5.1,1.5,0.3,2.2,1
6360,48,11.6,4,1.8,3.6,50.7,-0.2,-0.4,13,0.7,1.2,59.4,1.1,1.5,2.4,0.2,0.1,0.2,0.8,1
6361,49,11.2,3.1,1.2,2.8,41.4,0.5,1.3,40.8,0.5,0.7,68.9,0.2,0.8,1.1,1.4,0.5,-0.2,0.4,1
6362,62,12.7,3.6,1.2,3.2,38.8,0.7,2,37.6,0.6,1.1,64.4,0.7,1.5,2.2,1,0.1,0,0.9,1
6363,82,13.3,6.5,2.7,4.5,56.2,-0.3,-0.8,17.6,1.5,2.1,63,1.2,2,3.2,0.6,0.4,0.1,0.9,1
6364,97,34.7,20,8.5,15.9,56.5,0.5,0.9,20.6,2.4,3,72.9,3.1,6.4,9.7,0.9,0.9,0.4,1.2,1
6365,84,22.6,10.3,4.1,7.9,50.7,0.9,2.1,58.9,1.1,1.3,80.6,0.4,2.1,2.3,1.8,0.9,0.1,1.1,1
6366,71,20.3,8.3,3.1,8.1,36.9,0.3,0.5,31.1,1.9,2.5,73.3,0.8,1.4,2.2,2.4,1,0.6,2.3,1
6367,57,8.9,3.1,1.2,2.2,53.3,-0.2,-0.2,11.8,0.6,1.1,63.3,0.9,1.4,2.4,0.5,0.4,0.2,0.4,1
6368,76,22.5,12.7,4.7,9.6,50.2,0,0.1,-1.8,3.6,5.4,67.1,3.4,3.3,6.7,1.5,0.9,0.2,2.5,1
6369,53,17.4,6.1,2.2,5.4,41,0.7,2,27,0.8,1.3,71.4,0.4,1.4,1.8,1.4,0.4,-0.1,1,1
6370,50,6.6,2.4,0.8,2.1,39.3,0.4,1.3,38.8,0.7,0.8,80.4,0.2,0.4,0.6,0.5,0.2,-0.7,0.7,0
6371,51,28.7,10.5,4.4,9.5,47.1,-0.1,0.2,-0.6,1.8,2.5,72.2,1.9,4.3,6.5,2.4,0.9,0.7,2.1,1
6372,53,12.9,4.4,1.7,3.1,52.2,-0.3,-0.6,-2.3,1.1,1.8,67.9,1.6,2,3.8,0.2,0.2,0.2,0.5,1
6373,54,19.9,7.8,2.8,5,55.2,0.1,0.1,-11.2,2.4,3.7,61.7,1.8,3.2,5,0.5,0.6,0.3,1.1,1
6374,81,41.5,22.6,9.1,19.3,48.7,0.3,1.5,9.3,4.2,5.6,73,2.4,6.9,9.7,2.8,0.9,0.3,2.8,1
6375,77,44.1,17.7,6.8,15.2,44.7,-0.3,-0.5,-8.6,4.4,6.1,80.8,2.3,4.7,7.3,4.3,1.5,0.4,3.3,0
6376,66,15.4,4.2,1.7,4.2,42.3,0,0.4,-6.6,0.5,0.7,71.2,1.5,1.5,2.9,1.9,0.8,0.1,1.1,0
6377,32,9.4,2.9,1,2.6,40.1,0.4,1,18.5,0.6,0.8,74.2,0.1,0.6,0.7,1.2,0.6,-2.2,0.5,0
6378,73,10.3,5.1,1.7,4,44.2,-0.3,-0.8,30,1.8,2.5,79.3,0.6,1,1.6,0.9,0.1,0.1,0.8,1
6379,41,12.2,4.3,1.6,3.9,44.2,0.7,2.3,30,0.4,0.6,67.1,0.8,1.2,2.1,0.4,0.3,0.3,0.3,1
6380,44,14.9,3.7,1.4,2.9,45.8,0.3,1.1,6.5,0.6,0.9,65.1,0.3,1.8,2.1,1.1,0.2,-0.2,0.7,1
6381,63,13.7,4.6,2,3.9,52.1,0.6,1.4,25.9,0.2,0.4,64.2,1.2,2.5,3.6,0.3,0.2,0.6,0.5,1
6382,60,12.4,7.7,2.5,5.1,47.8,0,0,-0.8,3,4,71.4,0.8,1.6,2.6,1.4,0.5,0.2,1.4,1
6383,52,7.6,2.1,0.9,2.4,36,-0.5,-1.1,30.8,0.4,0.8,56.4,0.5,1,1.7,0.6,0.4,0.3,0.4,1
6384,83,17.9,6.7,2.7,6.5,42.3,0,0.5,32.6,0.9,1.1,83,0.6,1.3,2,1.8,0.6,0,0.8,1
6385,63,21.9,6.6,2.8,5,53.5,-0.1,-0.3,1,1.3,1.9,68.5,1.8,3,4.9,0.9,0.4,0.4,1.2,1
6386,54,18.6,8.4,3,6.7,45.1,0.5,1.4,40.4,1.7,1.8,83.8,0.4,1.3,1.7,0.5,0.6,0,0.8,1
6387,60,13.2,4.3,1.9,3.1,58.9,0,-0.5,8.8,0.6,1.1,46.2,1.2,4.7,5.6,0,0.1,1.4,0.4,0
6388,69,29.5,9.6,3.6,7.4,51.3,0.5,1.4,21,1.9,2.7,68.1,1.2,3.2,4.1,5.4,1.7,0.2,2.3,1
6389,51,16.4,7.3,2.7,4.7,58.6,0.6,1.3,12.7,1,1.5,70.1,0.7,3.1,3.8,0.4,0.2,0.3,0.6,0
6390,47,29.4,11.6,4.7,10.1,44.9,0.4,1.3,10.1,1.7,2.7,59.5,1.9,3.4,5.8,3.5,0.9,0.6,2.6,1
6391,77,20.2,12.5,4,9.9,39.9,0,0.6,9.5,4.2,5.2,80.1,0.9,2.5,3.2,1,0.3,0.2,1.9,0
6392,49,17.2,7.2,2.6,6,42.1,0.7,2.2,41.6,1.3,1.7,77.2,0.4,1.9,2.2,2.6,0.9,-0.5,1.1,1
6393,49,11.5,6.8,2.5,4.7,53.3,0.3,0.5,12.9,1.3,1.7,78.7,0.6,2.1,2.7,0.4,0.1,0.2,1.1,1
6394,70,19.7,7.6,2.7,5.6,46.8,0,0,22,1.9,3.1,67.9,0.7,2.8,3.4,1.8,0.5,0.2,1.7,1
6395,108,33,11.9,4.3,8.3,51.2,0.2,0.5,23,3.6,4.8,73.5,2.1,3.6,5.2,2,1.2,0.8,2.3,1
6396,66,23.4,7.8,3,7.8,36.5,0.5,1,41.7,1.4,2.5,62.3,0.8,1.5,2.2,4.2,1,-0.4,3.1,1
6397,39,6.8,3,1,2.2,43.2,0,0,-5.4,1,1.3,79.8,0.1,0.5,0.7,0.4,0.1,0,0.3,0
6398,66,24.7,7.6,2.5,6.3,40.7,0.6,1.8,28,1.9,2.7,69.1,0.9,1.9,3,3.9,1.3,0.1,2.1,0
6399,78,18.6,8.8,3.1,7.1,42,1,2.6,49.9,1.8,2,86,0.7,1.9,2.6,2.4,0.7,0.2,1.7,1
6400,57,12.8,3.8,1.5,3.2,43.7,-0.2,-0.4,24.2,0.8,1.2,62.9,0.2,1.4,1.5,1.3,0.5,0.4,1.2,1
6401,65,26.3,9.8,4.1,7.9,52.4,0,0,39.3,1.7,2.6,74.8,2.2,2.6,4.6,2.1,1.1,0.4,2,1
6402,76,25.8,11.7,4.6,9.2,51.7,0.1,0.1,23.3,2.3,3,75.7,1.4,2.1,3.6,3.8,0.9,0.1,1.9,1
6403,78,32.2,15.4,5.8,11.8,50.4,0.8,2,5.6,2.8,3.4,84,2.2,4,6,1.2,0.7,0.3,2.4,1
6404,52,16.9,8.5,3.2,6.1,55.6,-0.1,0.1,-3.8,2.2,3.1,72.7,1.1,2.2,3.8,1.1,0.6,0.3,1.3,1
6405,61,12.4,4.8,1.7,4.1,41.2,0.3,1.2,2.7,1.3,1.5,81,0.8,1.5,2.4,0.7,0.7,0.1,1,1
6406,61,35.6,15.9,6.1,13.4,44.9,0.7,2,30.2,2.8,3.3,84.5,1.6,2.9,4.6,3.2,1.5,0.3,2.2,1
6407,67,18.8,9.6,3.8,8.1,46.4,-0.1,-0.5,24.3,2.2,2.7,81,0.6,1.7,2.3,2.3,0.5,0.4,2.4,1
6408,53,32.6,15.6,6.3,13.6,47.1,1.1,2.8,63.1,1.4,1.5,102,0.5,2.9,3.3,3,1,0.1,2,1
6409,53,11.4,4.7,1.9,3.9,50.4,0.1,0.4,39,0.6,1,72.4,0.4,1.1,1.5,1.2,0.3,0,0.8,1
6410,59,17.3,8.3,3.2,6.4,50,0.5,1.2,6.4,1.2,2.2,57.5,2.3,4.7,7.3,0.3,0.4,0.5,0.8,1
6411,41,7.2,2.1,0.8,2.4,34.4,0.2,0.9,28.5,0.1,0.2,63.4,0.1,0.4,0.6,0.2,0,-0.3,0.4,0
6412,17,6.8,2,0.7,2.2,35.5,0.5,1.5,22.6,0.2,0.4,68.4,0,0.4,0.5,0.4,0.1,-0.2,0.4,0
6413,45,6.5,2.3,0.9,2.2,41.2,-0.2,-0.5,22.4,0.4,0.6,62.1,0.6,0.6,1.3,0.5,0.1,-0.3,0.5,0
6414,68,23.1,12.7,4.5,10.6,44,0.6,1.8,31.8,2.5,3.1,83.2,0.6,2.4,3,1.8,0.8,0.4,1.7,1
6415,32,6.2,2.3,0.9,3.1,25.9,0.5,1.8,32.7,0.2,0.2,80.5,0,0.4,0.5,1.3,0.2,-1.5,0.4,1
6416,56,11.3,4.7,2.1,3.7,53.4,-0.2,-0.7,18.5,0.5,0.8,56.3,0.9,1.6,2.7,0.6,0.4,0.4,0.5,1
6417,52,17.4,6.8,2.7,6.4,42,-0.1,-0.2,5.6,1.5,2.1,73.6,1.9,3.6,5.2,1.4,0.5,0.9,1.3,1
6418,94,27.5,13.2,4.6,10.9,42.4,1,2.8,72.3,2.5,3.3,78.7,0.7,2.8,3.4,2.8,1.5,0,1.8,1
6419,51,21,6.5,2.5,4.8,52.3,0.2,0.4,5.2,1,1.6,70.8,1.9,3.4,5.4,0.8,0.6,0.8,1.1,1
6420,56,20.2,9.1,3.4,7.5,44.7,0.5,1.7,-1.8,1.8,2.7,71.4,1.9,3.4,5.4,1.2,0.5,1.2,1.2,0
6421,90,24,10.6,4.3,8.3,53.9,0.4,1.1,20.1,2.1,3,74.9,2.8,5,8,0.6,0.3,1.2,1.4,1
6422,37,13.7,6.6,2.8,6.7,41.7,0.6,1.7,10.1,0.9,1.3,67.1,0.6,1.9,2.5,0.2,0.1,0.1,0.7,1
6423,59,11.5,6.2,2.6,4.8,51.2,0,0.2,11.7,1.3,2,64.1,1.2,1.3,2.5,0.5,0.3,0.2,1,1
6424,67,15.1,4,1.8,3.8,47.4,-0.8,-2.2,-26.4,1.2,1.9,60.4,1.9,2.2,4.2,1.2,0.8,0.3,0.8,1
6425,39,9.8,4.8,1.9,4.2,45.1,0.9,2.2,31,0.5,0.8,71,0.5,0.8,1.4,0.7,0.2,0.1,0.3,1
6426,70,10.6,5.6,2,4.4,47.1,0.4,1,23.2,1.3,1.6,78.2,0.8,1.3,2,0,0.1,0.2,0.8,1
6427,54,29,9.9,4,8.9,47.5,0.5,1.4,30.7,1.1,1.4,79.3,1.9,3.1,4.9,2.2,0.9,0.2,1.3,1
6428,50,18.3,6.7,2.2,6.4,33.9,0.6,2.1,25.8,1.7,1.9,80.2,0.3,1,1.2,1.9,0.9,0.1,1.4,1
6429,59,11.2,4.3,1.4,4.1,33.4,0.1,0.4,27.2,1.5,2.3,69.1,0.5,1.3,1.8,2.1,0.4,0.1,1.5,1
6430,48,12.5,3.2,1.3,3.2,39.8,0.5,1.7,12.3,0.4,0.6,70.2,0.6,1.3,1.8,0.7,0.9,0.3,0.6,0
6431,104,29.8,12.6,4.7,10.3,48.6,1.2,3.5,31.8,1.6,2.3,71.5,0.6,2.7,3.2,4.3,1.1,-0.1,2.4,1
6432,84,46.8,17.1,7,16.1,45.3,0.8,2.3,52,2.4,3.3,81.7,2.4,6.1,9,2.1,1.3,0.3,2.4,1
6433,54,15.8,8.2,2.7,5.6,47,0.5,1.6,14.2,2.5,3.1,84.6,0.7,1.7,2.6,0.7,0.4,0,1.4,1
6434,47,8,3.8,1.6,3.3,47.1,0.1,0.5,10.7,0.6,0.8,77,0.5,0.4,0.9,0.8,0.2,-0.5,0.6,1
6435,56,13.8,5.3,2.1,6,35.7,-0.1,0.3,5.5,1.1,1.4,68,1.5,2,3.2,0.7,0.4,0.4,0.9,1
6436,75,23.9,9,3.7,7.7,47.9,-0.2,-0.5,5.9,2.2,3.2,69.2,1.3,2.2,3.3,4.6,1.2,0.3,3,1
6437,49,17.3,6.4,2.8,5.8,45.7,0.2,0.7,-5.2,1,1.8,52.2,1.9,5.3,7.7,0.2,0.8,1.2,0.9,0
6438,50,9.7,5.5,2.1,3.9,51.6,0,-0.1,38.4,0.9,1.7,55.9,1.5,1.2,2.4,0.5,0.5,0.4,0.7,1
6439,20,7,2.9,1.1,2.6,45.1,0.6,1.9,32.8,0.3,0.4,74.7,0.5,1.3,1.9,0,0.1,0.3,0.2,1
6440,49,9.1,4.2,1.4,3.2,42.7,0.4,1.1,36.3,0.8,1,71.9,0.1,0.9,0.9,2.5,0.4,-0.6,1,1
6441,76,20.1,8,2.9,5.8,50,0.2,0.3,44.3,1.7,2.1,84.8,1.2,2.5,3.8,1.8,0.7,-0.1,0.9,1
6442,78,17.4,5.3,2.2,4.9,44.3,0.1,0.6,29.3,0.8,1.1,70.8,0.8,1.4,2.2,3.6,1.1,-0.3,1.2,1
